metric,value
distance_D_m,0.346130
heading_error_phi_deg,-24.554405
robot_heading_xz_deg,-112.463266
reference_heading_xz_deg,-87.908861
delta_x_ref_minus_robot_m,-0.345900
delta_y_ref_minus_robot_m,0.064811
delta_z_ref_minus_robot_m,-0.012630
robot_x_m,0.356475
robot_y_m,0.025187
robot_z_m,1.127610
robot_qx,0.98017066
robot_qy,-0.01504529
robot_qz,-0.19494023
robot_qw,-0.03220896
robot_roll_deg,-176.445050
robot_pitch_deg,22.526989
robot_yaw_deg,-1.050591
reference_x_m,0.010576
reference_y_m,0.089998
reference_z_m,1.114980
reference_qx,0.00000000
reference_qy,-0.69408603
reference_qz,0.00000000
reference_qw,0.71989206
reference_roll_deg,0.000000
reference_pitch_deg,-87.908861
reference_yaw_deg,0.000000
