metric,value
distance_D_m,0.601657
heading_error_phi_deg,-118.840634
robot_heading_xz_deg,-69.442896
reference_heading_xz_deg,49.397739
delta_x_ref_minus_robot_m,0.456806
delta_y_ref_minus_robot_m,0.004575
delta_z_ref_minus_robot_m,-0.391561
robot_x_m,-2.302271
robot_y_m,0.027315
robot_z_m,1.937749
robot_qx,0.98337351
robot_qy,-0.00305397
robot_qz,0.17799717
robot_qw,-0.03583597
robot_roll_deg,-175.618595
robot_pitch_deg,-20.478539
robot_yaw_deg,-1.147688
reference_x_m,-1.845466
reference_y_m,0.031890
reference_z_m,1.546188
reference_qx,0.00000000
reference_qy,0.41784915
reference_qz,0.00000000
reference_qw,0.90851642
reference_roll_deg,0.000000
reference_pitch_deg,49.397739
reference_yaw_deg,0.000000
