stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
8,548000000,0.068350290,-0.271076546,1.351082636,0.998847113,-0.000021775,0.048004582,-0.000072417
8,614000000,0.068350290,-0.271076546,1.351082636,0.998847113,-0.000021775,0.048004582,-0.000072417
8,647000000,0.068350290,-0.271076546,1.351082636,0.998847113,-0.000021775,0.048004582,-0.000072417
8,680000000,0.068350290,-0.271076546,1.351082636,0.998847113,-0.000021775,0.048004582,-0.000072417
8,713000000,0.068350290,-0.271076544,1.351082636,0.998847113,-0.000021775,0.048004582,-0.000072417
8,779000000,0.068350289,-0.271076543,1.351082637,0.998847113,-0.000021775,0.048004582,-0.000072416
8,812000000,0.068350288,-0.271076542,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
8,845000000,0.068350287,-0.271076538,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072416
8,911000000,0.068350287,-0.271076540,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
8,944000000,0.068350287,-0.271076541,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
8,977000000,0.068350288,-0.271076540,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
9,10000000,0.068350289,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
9,76000000,0.068350289,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
9,109000000,0.068350289,-0.271076542,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
9,142000000,0.068350288,-0.271076544,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072416
9,175000000,0.068350286,-0.271076539,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072416
9,208000000,0.068350285,-0.271076537,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,241000000,0.068350285,-0.271076536,1.351082638,0.998847113,-0.000021776,0.048004583,-0.000072415
9,274000000,0.068350284,-0.271076535,1.351082638,0.998847113,-0.000021776,0.048004583,-0.000072415
9,340000000,0.068350284,-0.271076535,1.351082638,0.998847113,-0.000021776,0.048004583,-0.000072415
9,373000000,0.068350283,-0.271076533,1.351082639,0.998847113,-0.000021776,0.048004584,-0.000072414
9,406000000,0.068350282,-0.271076532,1.351082639,0.998847113,-0.000021776,0.048004584,-0.000072414
9,439000000,0.068350284,-0.271076534,1.351082638,0.998847113,-0.000021776,0.048004583,-0.000072414
9,472000000,0.068350286,-0.271076536,1.351082638,0.998847113,-0.000021776,0.048004583,-0.000072415
9,604000000,0.068350287,-0.271076537,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,637000000,0.068350287,-0.271076537,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,670000000,0.068350287,-0.271076538,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,736000000,0.068350287,-0.271076538,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,769000000,0.068350287,-0.271076538,1.351082638,0.998847113,-0.000021775,0.048004583,-0.000072415
9,802000000,0.068350287,-0.271076538,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
9,835000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
9,868000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
9,901000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
9,934000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
9,967000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,0,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,33000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,66000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,99000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,132000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,165000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,198000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,231000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,264000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,297000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,363000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,396000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,462000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,495000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,528000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,561000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,594000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,693000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,726000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,759000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,792000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,825000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,858000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,891000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,924000000,0.068350287,-0.271076539,1.351082637,0.998847113,-0.000021775,0.048004583,-0.000072415
10,957000000,0.068292066,-0.271043184,1.351111998,0.998846705,-0.000021280,0.048013076,-0.000067615
10,990000000,0.068088733,-0.270902744,1.351267180,0.998845136,-0.000010784,0.048045720,-0.000048320
11,23000000,0.067521242,-0.270511412,1.351916369,0.998840645,0.000026250,0.048139017,0.000004009
11,56000000,0.067288664,-0.270292697,1.353244052,0.998838395,0.000064061,0.048185631,0.000036817
11,89000000,0.066276287,-0.269551548,1.355873072,0.998831496,0.000097732,0.048328155,0.000148846
11,122000000,0.067121885,-0.270311431,1.358569094,0.998840193,0.000056213,0.048148338,0.000064433
11,155000000,0.066862328,-0.270871411,1.362311152,0.998842412,0.000034393,0.048102335,-0.000009648
11,188000000,0.065950015,-0.270943181,1.366516079,0.998838505,0.000050874,0.048183366,-0.000027461
11,254000000,0.065768520,-0.271683046,1.370876707,0.998840393,0.000033407,0.048144052,-0.000135568
11,287000000,0.065904203,-0.272299297,1.373800549,0.998843930,-0.000002997,0.048070265,-0.000231186
11,320000000,0.066031660,-0.272704140,1.375739202,0.998846837,-0.000027999,0.048009402,-0.000303879
11,353000000,0.066157597,-0.272988494,1.376996171,0.998849294,-0.000045629,0.047957852,-0.000361727
11,386000000,0.066233566,-0.273054965,1.377964039,0.998851039,-0.000055338,0.047921274,-0.000388128
11,419000000,0.065563480,-0.272209340,1.379619229,0.998847114,-0.000010498,0.048003740,-0.000289012
11,452000000,0.065753239,-0.271934474,1.381552356,0.998849333,0.000011453,0.047957760,-0.000252303
11,518000000,0.065212087,-0.272147913,1.386035701,0.998848883,-0.000003715,0.047967001,-0.000274844
11,551000000,0.063586176,-0.270928757,1.390904910,0.998839780,0.000038805,0.048156836,-0.000104897
11,584000000,0.062918876,-0.271395436,1.394243574,0.998836990,0.000019452,0.048214578,-0.000149878
11,617000000,0.061869865,-0.271120914,1.397167426,0.998830542,0.000023751,0.048348093,-0.000102272
11,650000000,0.061364322,-0.270894346,1.399218806,0.998826790,0.000034330,0.048425598,-0.000060923
11,683000000,0.060876613,-0.270854759,1.400312334,0.998823019,0.000030620,0.048503340,-0.000043445
11,716000000,0.061666342,-0.271309137,1.399951804,0.998827801,0.000006417,0.048404698,-0.000096646
11,749000000,0.062055159,-0.271431561,1.398808226,0.998829372,0.000006945,0.048372228,-0.000115176
11,782000000,0.063270241,-0.270784461,1.396583840,0.998835805,0.000021294,0.048239342,-0.000027507
11,815000000,0.063120937,-0.270515504,1.393665384,0.998833270,0.000053911,0.048291785,0.000011830
11,848000000,0.063671969,-0.270720315,1.389984045,0.998834783,0.000071907,0.048260459,-0.000013196
11,881000000,0.062893248,-0.270445250,1.386290975,0.998826898,0.000105353,0.048423294,0.000022711
11,914000000,0.063775010,-0.270657284,1.381799392,0.998829467,0.000102111,0.048370302,-0.000001052
11,947000000,0.063826592,-0.270704304,1.377231726,0.998827163,0.000079226,0.048417890,-0.000003530
11,980000000,0.064466579,-0.270000083,1.372717223,0.998828157,0.000098754,0.048397247,0.000093589
12,13000000,0.065659876,-0.270136770,1.367926914,0.998833885,0.000115044,0.048278893,0.000078847
12,46000000,0.066237398,-0.270360215,1.363164103,0.998835824,0.000111197,0.048238795,0.000050701
12,79000000,0.067169563,-0.270830719,1.358162096,0.998840925,0.000076162,0.048133155,-0.000013498
12,145000000,0.067339454,-0.271033409,1.351787883,0.998839694,0.000057564,0.048158701,-0.000050142
12,178000000,0.068563429,-0.270573522,1.346152546,0.998845036,0.000082737,0.048047766,0.000002508
12,211000000,0.068499818,-0.270106620,1.341118984,0.998841807,0.000099866,0.048114760,0.000067101
12,244000000,0.068124276,-0.269910347,1.336424603,0.998836542,0.000115183,0.048223843,0.000099237
12,310000000,0.067534092,-0.269786033,1.331142728,0.998862578,0.000141916,0.047681408,0.000117633
12,376000000,0.069091404,-0.270186262,1.325445914,0.998909349,0.000127803,0.046691444,0.000067268
12,409000000,0.068598619,-0.269990478,1.321252304,0.998934078,0.000131236,0.046159301,0.000094034
12,442000000,0.069502179,-0.270532882,1.317229148,0.998961813,0.000084996,0.045555326,0.000025096
12,475000000,0.070387243,-0.270990408,1.313632502,0.998985042,0.000061413,0.045043094,-0.000045725
12,508000000,0.070281319,-0.270884319,1.310701266,0.998997698,0.000078565,0.044761492,-0.000046043
12,541000000,0.070333039,-0.270597370,1.307958038,0.999008614,0.000103398,0.044517166,-0.000016819
12,574000000,0.070501206,-0.270278866,1.305285470,0.999018463,0.000127551,0.044295519,0.000023054
12,607000000,0.071588002,-0.271353930,1.302000673,0.999033914,0.000048463,0.043945663,-0.000119342
12,640000000,0.071755048,-0.270827869,1.299536182,0.999041208,0.000085460,0.043779613,-0.000062040
12,673000000,0.071839062,-0.271453951,1.296258028,0.999046869,0.000064532,0.043650023,-0.000156363
12,706000000,0.071886038,-0.271253694,1.292816918,0.999048688,0.000081271,0.043608403,-0.000142035
12,772000000,0.071163251,-0.270739911,1.287690504,0.999041806,0.000100700,0.043765911,-0.000076007
12,805000000,0.070419234,-0.270078624,1.282907548,0.999034450,0.000118993,0.043933503,0.000021713
12,838000000,0.071188667,-0.270285557,1.278059500,0.999037523,0.000118858,0.043863587,-0.000001225
12,871000000,0.072218140,-0.270616649,1.273993405,0.999043839,0.000105367,0.043719493,-0.000045109
12,937000000,0.072664959,-0.271090742,1.270387015,0.999050378,0.000049048,0.043569816,-0.000107950
12,970000000,0.073733412,-0.271449702,1.267679105,0.999060757,0.000031802,0.043330986,-0.000168146
13,3000000,0.073280965,-0.271090923,1.266209859,0.999061319,0.000059157,0.043318118,-0.000131959
13,36000000,0.072091925,-0.270178111,1.265515798,0.999056850,0.000074064,0.043421249,0.000001242
13,69000000,0.071624079,-0.269491377,1.264895684,0.999056262,0.000092956,0.043434586,0.000113693
13,102000000,0.072263348,-0.269765713,1.264013204,0.999063541,0.000099980,0.043266873,0.000089013
13,135000000,0.073026591,-0.270360720,1.263181672,0.999072728,0.000073871,0.043054357,0.000014071
13,201000000,0.072127948,-0.269608754,1.263004067,0.999072064,0.000092333,0.043069563,0.000124156
13,234000000,0.072027212,-0.269361048,1.262392122,0.999075528,0.000120660,0.042988924,0.000166434
13,267000000,0.072183585,-0.268920720,1.261669135,0.999080710,0.000135513,0.042867918,0.000242341
13,300000000,0.071579774,-0.268878755,1.260859395,0.999081769,0.000126344,0.042843123,0.000265497
13,333000000,0.072128034,-0.269474864,1.259529839,0.999089990,0.000112802,0.042651411,0.000188246
13,366000000,0.072812469,-0.270375276,1.257955817,0.999100302,0.000059823,0.042409655,0.000060309
13,399000000,0.072585057,-0.270518638,1.256926805,0.999105168,0.000066015,0.042294890,0.000022271
13,432000000,0.071694221,-0.270035291,1.256233907,0.999104884,0.000087435,0.042301507,0.000078656
13,465000000,0.071198398,-0.269597782,1.255428330,0.999106313,0.000109342,0.042267527,0.000138900
13,498000000,0.071233659,-0.269719307,1.254348791,0.999111746,0.000106040,0.042138959,0.000125526
13,531000000,0.071784816,-0.270436830,1.253039556,0.999121218,0.000060449,0.041914055,0.000026138
13,564000000,0.071807666,-0.270498623,1.252140772,0.999127113,0.000072795,0.041773267,0.000003592
13,663000000,0.071671372,-0.270280579,1.251752134,0.999135988,0.000075958,0.041560446,0.000028978
13,696000000,0.071285782,-0.270109882,1.251741380,0.999142713,0.000083927,0.041398432,0.000050858
13,729000000,0.071751726,-0.270527104,1.251477983,0.999154480,0.000051184,0.041113541,-0.000005478
13,762000000,0.071266226,-0.270096055,1.251944700,0.999159834,0.000084791,0.040983119,0.000047796
13,795000000,0.071974896,-0.270381114,1.251906268,0.999172230,0.000070427,0.040679843,0.000009923
13,828000000,0.071819880,-0.270083532,1.252339699,0.999179776,0.000093812,0.040494009,0.000048466
13,861000000,0.071823941,-0.269803265,1.252716436,0.999187644,0.000108493,0.040299287,0.000091728
13,894000000,0.072119954,-0.269794214,1.253066078,0.999197977,0.000116886,0.040042225,0.000098754
13,927000000,0.071900743,-0.269738872,1.253425750,0.999204794,0.000119376,0.039871712,0.000112168
13,960000000,0.072097969,-0.270001392,1.253731200,0.999214772,0.000109941,0.039620965,0.000079420
13,993000000,0.071226136,-0.269453690,1.254435606,0.999217636,0.000137196,0.039548357,0.000157799
14,26000000,0.071551539,-0.269969328,1.254521025,0.999228039,0.000117414,0.039284897,0.000091398
14,59000000,0.071178518,-0.270425783,1.254721923,0.999234881,0.000083254,0.039110666,0.000026556
14,92000000,0.070620966,-0.270028451,1.255231661,0.999239810,0.000113794,0.038984417,0.000072239
14,125000000,0.070149623,-0.269958154,1.255655152,0.999245284,0.000124246,0.038843792,0.000080983
14,158000000,0.070608470,-0.270656484,1.255626158,0.999257045,0.000071299,0.038540274,-0.000013110
14,191000000,0.070929714,-0.271033792,1.255769687,0.999267758,0.000073953,0.038261415,-0.000081317
14,224000000,0.069936307,-0.270634244,1.256470200,0.999271037,0.000114094,0.038175646,-0.000041290
14,257000000,0.070012308,-0.270250820,1.256898580,0.999279927,0.000125547,0.037942220,0.000012581
14,290000000,0.070649820,-0.270738259,1.256938907,0.999293187,0.000097949,0.037591398,-0.000052534
14,323000000,0.069694843,-0.270752249,1.257505364,0.999297765,0.000102403,0.037469499,-0.000062027
14,356000000,0.069675699,-0.270426814,1.258158777,0.999306726,0.000112137,0.037229757,-0.000017962
14,389000000,0.070300915,-0.270692020,1.258425869,0.999320028,0.000102470,0.036870965,-0.000054356
14,422000000,0.069550131,-0.270507775,1.259076142,0.999326122,0.000089978,0.036705504,-0.000025001
14,455000000,0.069375604,-0.270585140,1.259423059,0.999335274,0.000071713,0.036455507,-0.000031297
14,488000000,0.069960026,-0.271270186,1.259360061,0.999349034,0.000035981,0.036076180,-0.000129142
14,521000000,0.069040680,-0.271121252,1.259842246,0.999354824,0.000027036,0.035915468,-0.000115237
14,554000000,0.067995867,-0.270840964,1.260418705,0.999359119,0.000055441,0.035795819,-0.000084110
14,587000000,0.067300063,-0.270468016,1.260979448,0.999365310,0.000070160,0.035622636,-0.000029015
14,620000000,0.067021025,-0.270053326,1.261543034,0.999373614,0.000061399,0.035388907,0.000044229
14,653000000,0.067631231,-0.270146265,1.261702644,0.999386631,0.000073087,0.035019355,0.000039537
14,686000000,0.067481197,-0.270297844,1.261917000,0.999396612,0.000079397,0.034733356,0.000021926
14,719000000,0.066939026,-0.270483215,1.262158003,0.999405003,0.000083781,0.034491048,-0.000005273
14,752000000,0.066174167,-0.270388703,1.262548371,0.999412213,0.000079963,0.034281524,0.000008399
14,785000000,0.066068261,-0.270326569,1.262780162,0.999422724,0.000063821,0.033973724,0.000022269
14,818000000,0.067550714,-0.270856924,1.262149284,0.999441393,0.000041453,0.033420013,-0.000052395
14,851000000,0.067539094,-0.270809471,1.261526569,0.999452904,0.000047647,0.033073965,-0.000053519
14,884000000,0.066819488,-0.271017866,1.260710275,0.999461052,0.000062537,0.032826714,-0.000093437
14,950000000,0.066606454,-0.271111711,1.259042652,0.999474674,0.000058196,0.032409261,-0.000113034
14,983000000,0.066839988,-0.271120682,1.257304752,0.999489503,0.000053232,0.031948640,-0.000118881
15,16000000,0.066290692,-0.271113539,1.255704385,0.999500329,0.000055926,0.031608138,-0.000124131
15,49000000,0.065908911,-0.271381349,1.253941036,0.999511815,0.000029308,0.031242642,-0.000164850
15,82000000,0.065385619,-0.271437488,1.252214258,0.999522120,0.000022602,0.030911143,-0.000181348
15,115000000,0.064780623,-0.270962134,1.250752069,0.999531567,0.000035464,0.030604426,-0.000118419
15,148000000,0.064573002,-0.270514089,1.249239740,0.999542731,0.000048663,0.030237781,-0.000049869
15,181000000,0.065144450,-0.270525781,1.247453839,0.999557463,0.000071419,0.029746771,-0.000047723
15,214000000,0.065913267,-0.270785195,1.245536435,0.999573449,0.000077065,0.029204562,-0.000083383
15,247000000,0.066812217,-0.271126881,1.243596361,0.999590322,0.000064560,0.028621078,-0.000132160
15,280000000,0.067096105,-0.271395619,1.241702744,0.999605062,0.000035901,0.028101410,-0.000172976
15,313000000,0.066949329,-0.271285114,1.239974782,0.999617853,0.000030803,0.027642723,-0.000164240
15,346000000,0.066829877,-0.271441458,1.238160313,0.999630665,0.000034551,0.027175259,-0.000195248
15,379000000,0.066421610,-0.271389534,1.236530901,0.999642006,0.000032113,0.026754822,-0.000193774
